City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
127,wewak,-3.5534,143.6268,302.54,69,28,3.17,PG,1693453685
128,haimen,23.1935,116.6142,302.09,90,100,5.46,CN,1693453685
129,afaahiti,-17.75,-149.2833,298.08,74,98,5.42,PF,1693453686
130,salekhard,66.53,66.6019,285.34,63,100,5.64,RU,1693453686
131,kailaras,26.3167,77.6167,305.07,54,3,4.18,IN,1693453686
132,dakhla,23.6848,-15.958,293.91,86,44,6.09,EH,1693453686
133,mana,5.6592,-53.7767,299.1,90,0,2.22,GF,1693453687
134,constantia,44.1833,28.65,293.54,84,1,1.7,RO,1693453461
135,port lincoln,-34.7333,135.8667,288.26,61,92,5.09,AU,1693453687
136,puerto baquerizo moreno,-0.9,-89.6,297.32,81,68,6.23,EC,1693453687
137,dryden,49.7833,-92.7503,291.31,72,0,2.57,CA,1693453688
138,lazaro cardenas,17.9583,-102.2,300.28,83,90,0.18,MX,1693453688
139,magadan,59.5667,150.8,294.0,84,78,4.95,RU,1693453688
140,scarborough,54.2797,-0.4044,281.43,89,18,0.45,GB,1693453688
141,paragominas,-2.9667,-47.4833,295.88,90,4,1.68,BR,1693453689
142,harstad,68.799,16.5293,286.38,96,100,4.92,NO,1693453689
143,canete,-37.8,-73.4,277.74,95,59,1.81,CL,1693453689
144,altai,46.3722,96.2583,288.55,47,100,3.09,MN,1693453690
145,el obeid,13.1842,30.2167,296.34,81,98,5.0,SD,1693453690
146,de aar,-30.6497,24.0123,285.14,27,0,2.9,ZA,1693453690
147,thurso,58.5927,-3.5259,282.29,92,12,0.72,GB,1693453690
148,puerto ayora,-0.7393,-90.3518,297.9,91,42,4.47,EC,1693453691
149,montepuez,-13.1256,38.9997,290.86,89,5,2.28,MZ,1693453691
150,tiksi,71.6872,128.8694,274.93,67,97,6.95,RU,1693453692
151,peniche,39.3558,-9.3811,291.64,92,67,6.96,PT,1693453692
152,nago,26.5881,127.9761,306.39,71,17,5.81,JP,1693453693
153,lihue,21.9789,-159.3672,301.73,79,40,7.2,US,1693453693
154,mirny,62.5353,113.9611,293.28,56,42,7.15,RU,1693453693
155,paphos,34.7667,32.4167,297.03,69,0,2.57,CY,1693453694
156,rottingdean,50.8098,-0.0594,286.17,89,68,2.77,GB,1693453694
157,coquimbo,-29.9533,-71.3436,287.26,76,1,2.57,CL,1693453588
